                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3628,                 1.9162,                 1.6578,                0.29675,                0.35095,                 0.2639,                0.12731,                  1.745,                 2.4175,                 2.0263,              0.0010396,              0.0010396,              0.0010396
                     36,                 1.3095,                 1.8938,                 1.6175,                0.35764,                0.36531,                0.29384,                0.15277,                 1.6299,                 2.2947,                 1.9902,              0.0010334,              0.0010334,              0.0010334
                     37,                  1.336,                 1.9344,                 1.6398,                0.33865,                0.38366,                0.29121,                0.15105,                 1.6756,                 2.3346,                 2.0225,              0.0010273,              0.0010273,              0.0010273
                     38,                 1.3745,                 1.9549,                  1.646,                0.33846,                0.34277,                0.28827,                0.13582,                 1.7511,                 2.4831,                 2.0478,              0.0010211,              0.0010211,              0.0010211
                     39,                 1.3385,                  1.964,                 1.6112,                0.33985,                0.47482,                0.31588,                0.16938,                 1.5762,                 2.2968,                 1.9194,              0.0010149,              0.0010149,              0.0010149
                     40,                   1.29,                 1.8754,                 1.5867,                 0.3816,                0.41932,                0.31364,                0.15094,                 1.6037,                 2.2492,                  1.957,              0.0010087,              0.0010087,              0.0010087
                     41,                 1.2771,                 1.8997,                 1.6189,                0.34885,                0.34749,                0.26664,                0.14036,                 1.6963,                 2.5413,                 2.0207,              0.0010025,              0.0010025,              0.0010025
                     42,                 1.2509,                 1.8633,                 1.5772,                0.36564,                0.37375,                0.32543,                0.16789,                 1.6435,                 2.2274,                 1.9961,             0.00099631,             0.00099631,             0.00099631
                     43,                 1.2568,                 1.8885,                 1.5725,                 0.3231,                0.44942,                 0.3245,                 0.1724,                 1.6524,                 2.2667,                 1.9565,             0.00099013,             0.00099013,             0.00099013
                     44,                  1.258,                 1.8289,                 1.5672,                0.36972,                 0.3708,                0.34185,                0.18363,                 1.6508,                  2.233,                 1.9375,             0.00098394,             0.00098394,             0.00098394
                     45,                 1.2333,                 1.8113,                 1.5526,                0.36834,                0.44112,                0.35106,                0.19508,                 1.6208,                 2.3261,                 1.9578,             0.00097775,             0.00097775,             0.00097775
                     46,                 1.2818,                 1.8462,                 1.5836,                0.31696,                 0.4193,                0.32589,                0.17727,                 1.5443,                 2.1995,                 1.8608,             0.00097156,             0.00097156,             0.00097156
                     47,                 1.2036,                 1.7538,                 1.5343,                0.38019,                0.34395,                0.31658,                0.16258,                 1.7187,                 2.4369,                  2.046,             0.00096537,             0.00096537,             0.00096537
                     48,                 1.2893,                  1.837,                 1.6012,                0.44257,                 0.3719,                0.31857,                0.17132,                 1.7111,                 2.5054,                 2.0033,             0.00095919,             0.00095919,             0.00095919
                     49,                 1.2676,                 1.7638,                 1.5649,                0.39438,                0.36695,                0.30938,                0.16381,                 1.6445,                 2.2848,                 1.9557,               0.000953,               0.000953,               0.000953
                     50,                 1.2216,                 1.8047,                 1.5547,                0.39326,                0.32059,                0.30803,                0.16373,                 1.6618,                 2.2679,                 1.9778,             0.00094681,             0.00094681,             0.00094681
                     51,                 1.1828,                 1.7114,                 1.4984,                0.30275,                0.39168,                0.30513,                0.16805,                 1.7024,                 2.2517,                 1.9695,             0.00094062,             0.00094062,             0.00094062
                     52,                 1.2074,                 1.7118,                 1.5251,                0.38624,                0.46162,                0.40152,                0.21746,                 1.6083,                 2.1124,                 1.9469,             0.00093444,             0.00093444,             0.00093444
                     53,                 1.2237,                 1.7314,                 1.5462,                0.53277,                 0.3086,                0.35854,                0.17844,                   1.68,                 2.2305,                  2.006,             0.00092825,             0.00092825,             0.00092825
                     54,                 1.1943,                 1.6501,                 1.5233,                0.32185,                0.47363,                0.36294,                0.19887,                 1.5845,                 2.1958,                 1.9178,             0.00092206,             0.00092206,             0.00092206
                     55,                 1.1719,                 1.6663,                 1.5213,                 0.4673,                0.37891,                0.38142,                  0.201,                 1.6562,                 2.1305,                  1.974,             0.00091588,             0.00091588,             0.00091588
                     56,                  1.228,                  1.694,                 1.5407,                0.44594,                  0.363,                0.36067,                 0.2092,                 1.5792,                  2.223,                 1.9144,             0.00090969,             0.00090969,             0.00090969
                     57,                 1.1664,                 1.6273,                 1.5231,                0.37709,                0.41027,                0.31646,                0.17492,                 1.6362,                 2.2909,                 1.9682,              0.0009035,              0.0009035,              0.0009035
                     58,                 1.1605,                  1.631,                 1.4918,                0.38527,                 0.4545,                0.32964,                0.18343,                 1.6042,                 2.1078,                 1.9354,             0.00089731,             0.00089731,             0.00089731
                     59,                 1.1507,                 1.6354,                 1.4986,                0.39467,                0.40149,                 0.3373,                0.18898,                 1.5651,                 2.1846,                 1.9409,             0.00089112,             0.00089112,             0.00089112
                     60,                 1.1454,                 1.5969,                 1.5165,                0.52562,                0.30476,                 0.3544,                0.19554,                 1.6069,                 2.2726,                 1.9256,             0.00088494,             0.00088494,             0.00088494
                     61,                 1.1612,                 1.5445,                 1.4731,                0.45758,                0.40472,                0.40108,                0.21879,                 1.5925,                 2.0974,                 1.9348,             0.00087875,             0.00087875,             0.00087875
                     62,                 1.1186,                 1.5681,                 1.4651,                0.36934,                0.37891,                0.32346,                0.16933,                 1.6739,                 2.2065,                 2.0184,             0.00087256,             0.00087256,             0.00087256
                     63,                 1.1626,                 1.5201,                 1.4897,                0.37632,                0.31921,                0.32812,                0.17524,                 1.6066,                  2.268,                 1.9441,             0.00086637,             0.00086637,             0.00086637
